contract_type,job_type,location,salary,title,url
Permanent,full-time,London, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51943801?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,Blackpool, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51992272?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,Crayford, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51962352?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,Harrow On The Hill, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51961479?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,Luton, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51961038?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,Ilford, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51924655?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,Derby, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51958154?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,Milton Keynes, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51992303?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,"Newport, Gwent", Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51923421?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,Reading, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51896488?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,Birkenhead, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51883723?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,Widmore, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51879760?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,Cardiff, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51862855?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,Edinburgh, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51854986?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
Permanent,full-time,Leeds, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51854978?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
